Assay ID,,Description,Assay_Name,Assay_Group,Assay_Format,Assay_Type,Species,AID,ChEMBL Assay ID
740,,Inhibition of R1881-induced release of androgen receptor from Hsp90 in human LNCAP cells at 10 uM after 20 hrs by co-immunoprecipitation analysis,co-immunoprecipitation analysis,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2013625
741,,Inhibition of R1881-induced release of androgen receptor from immunophilin FKBP52 in human LNCAP cells at 10 uM after 20 hrs by co-immunoprecipitation analysis,co-immunoprecipitation analysis,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2013624
742,,Inhibition of R1881-induced transcriptional activity of human AR expressed in human PC3 cells harboring pGL3-ARR3tk-NLuc at 2 uM after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL4275692
743,,Inhibition of R1881-induced transcriptional activity of human AR V7 truncated mutant expressed in human PC3 cells harboring pGL3-ARR3tk-NLuc after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL4275676
744,,Inhibition of radioligand binding to androgen receptor (unknown origin) at 1 uM relative to control,Radioligand binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL4051162
745,,Inhibition of rat AR,Cytosolic AR-binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL858791
746,,Inhibition of rat testosterone receptor at 10 uM by radioligand displacement assay,radioligand displacement assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL2167226
747,,Inhibition of rat testosterone receptor at 10 uM relative to control,Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL3624128
748,,Inhibition of rat androgen receptor at 3 uM,whole-cell androgen receptor binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL1031391
749,,Inhibition of rat AR-mediated reporter gene expression in COS7 cells,�androgen reporter assays,Binding,cell-based format,Binding,Rattus norvegicus,,CHEMBL869334
750,,Inhibition of rat AR-mediated reporter gene expression in COS7 cells at 10 uM,�androgen reporter assays,Binding,cell-based format,Binding,Rattus norvegicus,,CHEMBL869335
751,,Inhibition of rat AR-mediated reporter gene expression in COS7 cells at 3 uM,�androgen reporter assays,Binding,cell-based format,Binding,Rattus norvegicus,,CHEMBL869336
752,,Inhibition of rat prostate cytosolic androgen receptor,�androgen reporter assays,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL830413
753,,Inhibition of recombinant rat His-tagged/GST-fused androgen receptor LBD expressed in baculovirus expression system at 50 uM measured after 1.5 hrs by fluorescence polarization assay relative to control,fluorescence polarization assay,Binding,assay format,Binding,Rattus norvegicus,,CHEMBL4058429
754,,Inhibition of T877A androgen receptor of human prostate cancer cells in reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL837993
755,,Inhibition of testosterone-stimulated seminal vesicle growth in castrated mice at 10.0 ug,In vivo,In vivo,tissue-based format,Antagonist,Mus musculus,,CHEMBL743275
756,,Inhibition of testosterone-stimulated seminal vesicle growth in castrated mice at 100 ug,In vivo,In vivo,tissue-based format,Antagonist,Mus musculus,,CHEMBL743277
757,,Inhibition of testosterone-stimulated seminal vesicle growth in castrated mice at 1000 ug,In vivo,In vivo,tissue-based format,Antagonist,Mus musculus,,CHEMBL742119
758,,Inhibition of testosterone-stimulated seminal vesicle growth in castrated mice supplemented with 0.3 mg of TP at 1000.0 ug,In vivo,In vivo,tissue-based format,Antagonist,Mus musculus,,CHEMBL742120
759,,Inhibition of wild type Androgen receptor (unknown origin) expressed in Freestyle293F cells,whole-cell androgen receptor binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2339069
760,,Inhibition of wild type androgen receptor expressed in CV1 cells assessed as dihydrotestosterone-stimulated transactivation at 500 nM by CAT reporter gene assay,CAT reporter gene assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL937559
761,,Inhibition of wild type androgen receptor expressed in CV1 cells assessed as dihydrotestosterone-stimulated transactivation by CAT reporter gene assay,CAT reporter gene assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL937560
762,,Inhibitory activity against AR,Binding assay,Binding,single protein format,Antagonist,Homo sapiens,,CHEMBL859226
763,,Inhibitory activity against Androgen receptor in mouse fibroblast L929 cells,competitive binding assay,Binding,cell-based format,Antagonist,Mus musculus,,CHEMBL648258
764,,Inhibitory activity against human Androgen receptor,Receptor binding assay,Binding,single protein format,Antagonist,Homo sapiens,,CHEMBL647748
765,,Inhibitory activity (IC50) against human androgen receptor expressed in CV-1 cells,cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL653492
766,,Inhibitory concentration against Androgen receptor,radioligand binding assays,Binding,single protein format,Antagonist,Homo sapiens,,CHEMBL881777
767,,Inhibitory concentration against growth of the human prostate cancer cell line MDAMB-PCa2b containing L701H and T877A mutants of Androgen receptor; Not tested,other,other,cell-based format,Antagonist,Homo sapiens,,CHEMBL835739
768,,Inhibitory concentration against human androgen receptor (AR) dependent transcriptional activity in co-transfected mammalian CV-1 cells,cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL649556
769,,Inhibitory concentration against recombinant rat androgen receptor expressed in Escherichia coli using [3H]methyltrienolone (R 1881), Transfection  assay,Reporter gene,assay format,Antagonist,Rattus norvegicus,,CHEMBL872182
770,,Inhibitory constant against rat prostate cytosol androgen receptor using [3H]mibolerone,Binding assay,Binding,single protein format,Antagonist,Rattus norvegicus,,CHEMBL649839
771,,Intrinsic activity at rat androgen receptor expressed in mouse skeletal muscle C2C12 cells assessed as transcriptional activation after 24 hrs by androgen-specific response element driven luciferase reporter gene assay relative to control,ARE-mediated luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Rattus norvegicus,,CHEMBL996747
772,,Intrinsic activity at rat AR transfected in mouse C2C12 cells by luciferase reporter transactivation assay relative to DHT,luciferase reporter transactivation assay,Reporter gene,cell-based format,Binding,Rattus norvegicus,,CHEMBL913354
773,,Maximum binding of [3H]R-1881 to human androgen receptor at 273 K,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL839987
774,,Maximum binding of [3H]-R-1881 to human androgen receptor at 278 K,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL839988
775,,Maximum binding of [3H]R-1881 to human androgen receptor at 283 K,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL839989
776,,Maximum binding of [3H]R-1881 to human androgen receptor at 288 K,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL839990
777,,Maximum binding of [3H]R-1881 to human androgen receptor at 293K,Cytosolic AR-binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL839991
778,,Maximum binding of [3H]R-1881 to human androgen receptor at 298 K,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL877112
779,,Maximum binding of [3H]R-1881 to human androgen receptor at 303 K,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL839992
780,,Maximum binding of [3H]R-1881 to human androgen receptor at 308 K,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL839993
781,,Maximum binding of the radiolabeled compound towards the androgen receptor at 310K,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL839994
782,,Minimum effective concentration for androgen receptor (AR) inhibition,Proliferation Assay,Cell proliferation,single protein format,Binding,Homo sapiens,,CHEMBL651956
783,,Modulation of androgen receptor (unknown origin) expressed in Cos7 cells assessed as luciferase activity after 24 hrs,Reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL3404788
784,,Modulation of human androgen receptor expressed in African green monkey CV1 cells after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL3820557
785,,Partial agonist activity at androgen receptor (unknown origin),other,other,single protein format,Agonist,Homo sapiens,,CHEMBL3592213
786,,Partial agonist activity at androgen receptor in human LNCAP cells assessed effect on CPA-induced PSA expression after 2 hrs by ELISA,Cell Proliferation Assays,Cell proliferation,cell-based format,Agonist,Homo sapiens,,CHEMBL2089767
787,,Partial agonist activity at human androgen receptor expressed in HeLa cells co-expressing ARE by luciferase reporter gene based transactivation assay,Competitive Binding Assay,Reporter gene,Other,pAgonist,Homo sapiens,,CHEMBL2188721
788,,Partial agonist activity at wild type androgen receptor expressed in african green monkey CV1 cells assessed as induction of transcriptional activity by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1786229
789,,Percent efficacy for human Androgen receptor agonist activity compared to dihydrotestosterone,Cotransfection assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL646929
790,,Percent efficacy for human Androgen receptor antagonist activity compared to dihydrotestosterone,Cotransfection assay,Reporter gene,assay format,Antagonist,Homo sapiens,,CHEMBL646930
791,,Percent inhibition of transcriptional activity for androgen receptor compared to DHT at EC50,cotransfection assay,Reporter gene,assay format,Binding,Homo sapiens,,CHEMBL646932
792,,Percent maximal inhibition against human androgen receptor (AR) dependent transcriptional activity in co-transfected mammalian CV-1 cells,cotransfection assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL646928
793,,Peroral dose inhibiting testosterone propionate (subcutaneous administration) induced rat ventral prostate weight gain by 50%,In vivo,In vivo,organism-based format,Antagonist,Rattus norvegicus,,CHEMBL777162
794,,"Potency index, ratio of IC50 for hydroxyflutamide to IC50 for compound against androgen receptor in androgen-dependent mouse SC3 cells assessed as inhibition of testosterone-induced cell growth after 3 days",Binding Assay,Binding,cell-based format,Binding,Mus musculus,,CHEMBL2343826
795,,"Potency index, ratio of RBA of (R)-bicalutamide to RBA of compound for human androgen receptor",competitive receptor-binding assays,Binding,single protein format,Binding,Homo sapiens,,CHEMBL2162625
796,,"Potency index, ratio of RBA of hydroxyflutamide to RBA of compound for human androgen receptor",competitive receptor-binding assays,Binding,single protein format,Binding,Homo sapiens,,CHEMBL2162626
797,,Ratio of binding affinity for human androgen receptor active state to human androgen receptor inactive state,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL2188302
798,,Ratio of binding affinity to human androgen receptor in inactive state to human androgen receptor in active state,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL2184769
799,,Ratio of compound EC150 to Dex EC150 for androgen receptor in human MDA-kb2 cells,reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL1052493
800,,Ratio of compound EC150 to DHT EC150 for androgen receptor in human MDA-kb2 cells,reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL1052491
801,,Ratio of compound IC50 to flutamide IC50 for androgen receptor in human MDA-kb2 cells assessed as inhibition of DHT-induced luciferase activity by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL1052487
802,,Ratio of dihydrotestosterone Ki to compound Ki for rat androgen receptor in ventral prostate cytosol relative to control,Binding Assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL3881929
803,,Reduction in DHT-induced Androgen receptor activity,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL648255
804,,Relative anti-androgenic activity as suppressive effect on weight increase of seminal vesicle in castrated immature rats given testosterone propionate (95% confidence limit),In vivo,In vivo,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL798879
805,,Relative anti-androgenic activity as suppressive effect on weight increase of ventral prostate in castrated immature rats given testosterone propionate (95% confidence limit),In vivo,In vivo,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL795408
806,,Relative binding affinity (RBA) against androgen receptor (AR) using [3H]R-1881 as competitive radioligand.,In vivo,In vivo,single protein format,Binding,Rattus norvegicus,,CHEMBL652300
807,,Relative binding affinity (RBA) for Androgen receptor in competitive radiometric assay,competitive radiometric assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL651756
808,,"Relative binding affinity (RBA) towards androgen receptor in rat ventral prostate cytosol, following 1 hr incubation time period",Competition Assay,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL649840
809,,"Relative binding affinity (RBA) towards androgen receptor in rat ventral prostate cytosol, following 18 hr incubation time period",Competition Assay,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL649841
810,,Relative binding affinity against Androgen Receptor in Male Sprague-Dawley rats,In vivo,In vivo,single protein format,Binding,Rattus norvegicus,,CHEMBL651764
811,,Relative binding affinity against androgen (AR) receptor of rat after 24 hr incubation as percent binding compared to R1881,Receptor binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL651757
812,,Relative binding affinity for androgen receptor,Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL648259
813,,Relative binding affinity against androgen receptor of rat prostate at 0 degree centigrade; value ranges from 2.7-7.9%,Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL651760
814,,Relative binding affinity against androgen receptor of rat prostate at 15 degree Centigrade,Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL651761
815,,Relative binding affinity against rat ventral prostate androgen receptor using competition assay after 1 hour.,Competition Assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL652301
816,,Relative binding affinity against rat ventral prostate androgen receptor using competition assay after 18 hours.,Competition Assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL652302
817,,Relative binding affinity against the androgen receptor in rat renal cytosol using [3H]DHT as ligand,In vivo,In vivo,assay format,Binding,Rattus norvegicus,,CHEMBL651763
818,,Relative binding affinity for androgen receptor (AR) in human MCF-7 cells,Competition assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL651958
819,,Relative binding affinity for androgen receptor in MCF-7 cell cytosol extract,Competition Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL648256
820,,Relative binding affinity for androgen receptor in rat prostate cytosol extract compare to [3H]R-1881,Competition Assay,Binding,assay format,Binding,Rattus norvegicus,,CHEMBL648260
821,,Relative binding affinity for androgen receptor (AR) in rat uterus,Competition assay,Binding,assay format,Binding,Rattus norvegicus,,CHEMBL652297
822,,Relative binding affinity for androgen receptor of prostate of rat at 2 hr,Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL652299
823,,"Relative binding affinity for androgen receptor of rat prostate cytosol, displacement of [3H]R-1881 over 2 hr at 0C",Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL652298
824,,Relative binding affinity for human androgen receptor against 1.0 nM [3H]mibolerone in PC3/AR cell lysate,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL651959
825,,Relative binding affinity for rat androgen receptor compared to dihydrotestosterone (100) (n=4),Cytosolic AR-binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL830574
826,,Relative binding affinity to Androgen receptor of rat prostate cytosol,Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL652304
827,,Relative binding to androgen receptor compared to dihydrotesterone,Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL654199
828,,Relative effect on seminal vesicle weight in adult and castrated mice at 10 ug dose,In vivo,In vivo,tissue-based format,other,Mus musculus,,CHEMBL852419
829,,Relative effect on seminal vesicle weight in adult and castrated mice at 100 ug dose,In vivo,In vivo,tissue-based format,other,Mus musculus,,CHEMBL852050
830,,Relative effect on seminal vesicle weight in adult and castrated mice at 1000 ug dose,In vivo,In vivo,tissue-based format,other,Mus musculus,,CHEMBL839055
831,,Relative effect on seminal vesicle weight in adult and castrated mice supplemented with 0.3 mg TP at 1000 ug dose,In vivo,In vivo,tissue-based format,other,Mus musculus,,CHEMBL840604
832,,Relative receptor-binding activity was measured as Ki value of flutamide/Ki value of the compound; 100-150,Receptor binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL648594
833,,Relative stimulatory activity compared to 5-alpha-DHT in CV-1 cells expressing androgen receptor,Bioassay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL656177
834,,"Resistance index, ratio of IC50 for inhibition of androgen receptor binding function 3 in human enzalutamide-resistant MR49F cells to IC50 for inhibition of androgen receptor binding function 3 in eGFP-expressing human LNCAP cells",transcriptional eGFP assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL3368855
835,,Transactivation of human androgen receptor transfected in human HeLa cells by luciferase reporter gene assay,Competitive Binding Assay,Reporter gene,Other,Binding,Homo sapiens,,CHEMBL2187509
836,,Transactivation of intact rat androgen receptor in ventral prostate cytosol at 10 nM relative to dihydrotestosterone,Binding Assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL3881928
837,,Transcriptional activity at human androgen receptor BF3 site stably transfected in eGFP-expressing human LNCAP cells after 5 days by fluorometric analysis,transcriptional luciferase assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL1925688
838,,Weight of prostate as anti-androgenic activity in rat after oral dose of 12+0.1 mg/day with testosterone propionate(0.1 mg/day),In vivo,In vivo,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL791742
839,,Weight of prostate as anti-androgenic activity in rat after oral dose of 24+0.1 mg/day with testosterone propionate(0.1 mg/day),In vivo,In vivo,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL791744
840,,Weight of prostate as anti-androgenic activity in rat after oral dose of 48+0.1 mg/day with testosterone propionate(0.1 mg/day),In vivo,In vivo,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL791745
841,,Weight of prostate as anti-androgenic activity in rat after oral dose of 96+0.1 mg/day with testosterone propionate(0.1 mg/day),In vivo,In vivo,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL791746
842,,Weight of seminal vesicle as anti-androgenic activity in rat after oral dose of 12+0.1 mg/day with testosterone propionate(0.1 mg/day),In vivo,In vivo,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL791589
843,,Weight of seminal vesicle as anti-androgenic activity in rat after oral dose of 24+0.1 mg/day with testosterone propionate(0.1 mg/day),In vivo,In vivo,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL791591
844,,Weight of seminal vesicle as anti-androgenic activity in rat after oral dose of 48+0.1 mg/day with testosterone propionate(0.1 mg/day),In vivo,In vivo,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL793773
845,,Weight of seminal vesicle as anti-androgenic activity in rat after oral dose of 96+0.1 mg/day with testosterone propionate(0.1 mg/day),In vivo,In vivo,tissue-based format,Antagonist,Rattus norvegicus,,CHEMBL793774
846,,"A radiolabeled ligand competition scintillation proximity assay (SPA) for the androgen receptor (AR) using Ni-coated 384-well FlashPlates. It measures [3H]-DHT displacement from AR-LBD protein. AR functionality was determined by fluorescence polarization (excitation @485 nm, emission @ 530 nm) assay, which measures fluorescently labeled SRC2-3 peptide displacement from DHT-bound AR-LBD.",SPA Binding Assay (IC50) and Coactivator Peptide Competitive FP Assay (IC50/EC50),Binding,Other,Binding,Homo sapiens,,
847,,Radioligand binding (Eurofins Panlabs) was performed using rat androgen receptor and [3H]mibolerone,Binding Assay,Binding,Other,Binding,Rattus norvegicus,,
848,,"For determining the androgen receptor-dependent transcription, a cellular assay system was used, consisting of PC-3 cells (Kaighn et al., Invest. Urol. 17: 16-23, 1979), which express the human androgen receptor stably and recombinantly (full length, wild-type form, see Swiss-Prot Acc. No. P10275, Entry Version 159, Sequence Version 2). In addition, these PC3 cells contain a stably integrated reporter gene plasmid, which is based on the commercially available plasmid pGL4.14 (#E6691, Promega Corporation, Madison, Wis., USA) and contains the luciferase gene from the American firefly (Photinus pyralis) under the control of the MMTV promoter (Cato et al., EMBO J. 6: 363-368, 1987). These cells were propagated in routine cell culture at 37&deg; C. and 5% CO2 in a medium containing 90% RPMI 1640 (Invitrogen GmbH, Darmstadt, Germany), 100 U penicillin, 100 &mu;g/ml streptomycin (Invitrogen), 4 mM L-glutamine (Invitrogen), 10% fetal calf serum (FCS Serum Gold, PAA Laboratories GmbH, C&ouml;lbe, Germany), 600 &mu;g/ml Geneticin (G418-sulphate, Invitrogen) and 10 &mu;g/ml puromycin (Sigma Aldrich GmbH, Germany). For carrying out the transactivation assays, approx. 1000 cells per well were plated out in a 384-well cell culture plate in a medium that contained activated charcoal-treated calf serum (FCS Serum Gold, PAA Laboratories) at a concentration of 5% (v/v). The test substances were added in a concentration series from 5.12&times;10^&minus;12 to 1&times;10^&minus;5 M in the presence of 1&times;10^&minus;1&deg; R1881 (methyltrienolone). The test plates were incubated overnight at 37&deg; C. and 5% CO2. After 16 hours, 15 &mu;l of Steady Glo Lysis and Detection reagent (E2550, Promega Corporation, Madison, Wis., USA) was added per well and the luminescence was read in a Topcount Luminometer (PerkinElmer, Waltham, Mass., USA) for 4 seconds per well. The luminescence values obtained were normalized, wherein 100% corresponded to the effect of the unstimulated control (without R1881), and 0% corresponded to the effect of the stimulated control (R1881 plus DMSO instead of test substance).",Transactivation Assay,Reporter gene,Other,Antagonist,Other,,
849,,"An AR-response element is contained within the mmTV sequence and drives the expression of luciferase. The effect of antiandrogens (competitive antagonists) on this process is measured by quantifying the amount of luciferase activity after 24 hours in the presence of varying concentrations of antiandrogens. From these values, an IC50 for each antagonist is calculated. Experimentally, HeLa cells were maintained in Dulbecco&#39;s modified Eagle&#39;s medium H-21 4.5 g/L glucose, containing 10% steroid depleted fetal bovine serum, 50 units/mL penicillin. For transfection, (1×105) cells per well were plated and incubated overnight. A mixture of typically 200 ng of mmTV responsive luciferase reporter plasmid, 10 ng of &#946;-actin-&#946;-galactosidase internal control, 10 ng of AR full length CMV expression vector or empty vector control, and 10-100 ng of &#946;-catenin or empty vector control were mixed with 0.5 &#956;L of transfection reagent from BioRad and incubated for 20 min and then plated in 24 well plate triplicates. Cells were induced with 1 nM DHT and 0.1 nM-30 uM compounds after 3 hrs and then incubated overnight. Cells were collected, and pellets were lysed in 100 &#956;L of 100 mM Tris-HCl (pH 7.5) containing 0.1% Triton X-100. Luciferase and &#946;-galactosidase activities were measured using the Luciferase Assay System (Promega) and Galacto-Light Plus-galactosidase reporter gene assay system (Applied Biosystems), according to the manufacturer&#39;s instructions.",mmTV-luciferase reporter assay,Reporter gene,Other,Antagonist,Homo sapiens,,
850,,"Androgen binding is measured using the hydroxylapatite (HAP) assay. In brief, the radioactive steroid [3H]R1881 solubilized in ethanol is diluted with buffer B (10 mM Tris-HCl, 1.5 mM EDTA disodium salt, 10 mM &#945;-monothioglycerol, pH 7.4). Aliquots of the cell or prostate cytosol preparation (0.1 ml) are then incubated with 5 nM [3H]R1881 (0.1 ml, ¿100 000 cpm) in the presence or absence of the indicated concentrations of unlabeled compounds (0.1 ml, prepared in buffer B containing 30% ethanol) for 16-18 h at 0-4° C. Triamcinolone acetonide (TAC; 100 nM) is added to mask progesterone receptors. Unbound steroids are separated by incubation for 40 min at 0-4° C. with 0.3 ml HAP prepared in buffer P (50 mM Tris-HCl, 10 mM KH2PO4, pH 7.4). After incubation with HAP and 10 min of centrifugation at 1000×g, the pellet is washed 3 times with 1 ml of buffer P. Thereafter, the radioactivity is extracted from the pellet by incubation at room temperature for 60 min with 1 ml of ethanol. After centrifugation, the supernatant is decanted into a scintillation vial and the pellet is extracted again with ethanol. After the addition of scintillation liquid, the radioactivity is measured in a liquid scintillation counter.",Androgen Receptor Assay,Binding,Other,Antagonist,Mus musculus,,
851,,androgenic activity calculated using reporter gene assay,reporter gene assays,Reporter gene,cell-based format,Antagonist,Other,,
852,,"Antagonist activity for AR was evaluated according to the following method. COS-7 cells (ATCC) were transfected with pMMTV-luc vector (reporter plasmid having, as an androgen response element, murine mouse mammary virus long terminal repeat) and pEX-hAR vector (human androgen receptor expression vector: which expresses human AR gene under control of CMV promoter) by using Nucleofector (registered trademark) Kit R (Lonza) as a transfection reagent and Amaxa (Lonza). The COS-7 cells obtained after transfection were seeded in a clear bottom 96 well microplate (BD) at 1.5×104/well with phenol red free RPMI1640 containing 10% charcoal-treated fetal bovine serum (hereinbelow, DCC-FBS) (hereinbelow, the medium is referred to as an evaluation medium), and then cultured overnight. The culture was added with the evaluation medium containing dihydrotestosterone (DHT) (final concentration of DHT: 1 nmol/L) or the evaluation medium containing the compound of Examples or the compound of Comparative Examples (final concentration of the compound of Examples or the compound of Comparative Examples: 5, 14, 41, 123, 370, 1111, 3333, or 10000 nmol/L), followed by culture for 24 hours. Then, the transcription activity value was measured. The transcription activity was measured by using Bright-Glo Luciferase Assay System (Promega). From the measured transcription activity, 50% transcription activity inhibition concentration (IC50 value) was calculated by logistic regression when the transcription activity value obtained by using 1 nmol/L DHT was 100% and the transcription activity value obtained by using the evaluation medium only was 0%.",reporter gene assays,Reporter gene,Other,Antagonist,Homo sapiens,,
853,,Antagonistic compounds in AR CALUX Reporter Cells,AR CALUX bioassays,Reporter gene,cell-based format,Antagonist,Other,,
854,,AR activity in MDA-kb2 human breast cancer cells,reporter gene assay,Reporter gene,cell-based format,Antagonist,Other,,
855,,AR antagonist assay,AR antagonist assay,Reporter gene,Other,Antagonist,Other,,
856,,"Androgen receptor (AR) binding affinities of test compounds were studied in cytosolic lysates obtained from ventral prostates of castrated rats by competition binding assay (Schilling K. and Liao S., The Prostate, 1984; 5(6):581-588). Cytosol preparations and 1 nM [3H]mibolerone were incubated with increasing concentrations of test compounds. To determine non-specific binding, parallel incubations were carried out using excess of unlabelled testosterone. After incubation, bound and free steroids were separated by treatment with dextran-coated charcoal suspension. Bound radioactivity was determined by counting of supernatant fraction in scintillation fluid. Radioactivity was measured using a Microbeta counter. All data points were done as quadrublicates. Dissociation constant of [3H]mibolerone for rat androgen receptor was determined by saturation binding assay obtained from ventral prostates of castrated rats essentially as described (Isomaa V. et al., Endocrinology, 1982; 111(3):833-843).",Binding Assay,Binding,Other,Binding,Other,,
857,,AR CALUX bioassays,AR CALUX bioassays,Reporter gene,Other,Agonist,Other,,
858,,AR competitive binding assay,Binding assay,Binding,cell-based format,Binding,Other,,
859,,"AR functionality was determined by fluorescence polarization (excitation @485 nm, emission @ 530 nm) assay, which measures fluorescently labeled SRC2-3 peptide displacement from DHT-bound AR-LBD.",Coactivator Peptide Competitive FP Assay (IC50/EC50),Binding,Other,Agonist,Homo sapiens,,
860,,AR transactivity was determined in the CHO-K1 cells by transient co-transfection with the MMTV-LUC reporter vector,reporter gene assays,Reporter gene,cell-based format,Antagonist,Other,,
861,,Binding Affinity of Pesticides for Human AR in Competition Assay,Binding assay,Binding,Other,Binding,Other,,
862,,"Activities of the test compounds to inhibit androgen receptor mediated transcription induced by DHT were evaluated using stable transfected AR/CHO#3 cells plated onto 96-well luminoplates. After cells were lysed, cell extracts were prepared for luciferase assay. The luciferase activity was measured with a ML3000 luminometer. AR antagonist activities were calculated. The concentration of compounds showing 50% AR antagonist activity, the IC50 values, were obtained through nonlinear analysis using the statistical analysis system (SAS).",Luciferase Reporter Assay,Reporter gene,Other,Binding,Homo sapiens,,
863,,"Binding assays were conducted by incubating test compound at various concentrations with [3H]DHT with human cancer epithelial breast cell lines MDAMB-45. IC50 value was obtained from dose-response displacement curves. The inhibition constant (Ki) was calculated from IC50 value by the Cheng and Prusoff equation. EC50 value was obtained from functional transactivation assay, which was conducted to assess the potency and efficacy of agonist/antagonist in stably transfected mouse myoblast C2C12 cell line utilizing a luciferase reporter. ",Transactivation Assay,Reporter gene,Other,Agonist,Homo sapiens,,
